Format,1.0B,
Memory Length,5000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,0.000E+00,
Source,FFT rms,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,0.00E+00,
Horizontal Units,Hz,
Horizontal Scale,25MHz,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-09,
Horizontal Old Scale,25MHz,
Horizontal Old Position,1000,
Firmware,V1.31,
Mode,Detail,
Waveform Data,
0.000000e+00,4.00e-02,
5.000000e+04,0.00e+00,
1.000000e+05,0.00e+00,
1.500000e+05,0.00e+00,
2.000000e+05,0.00e+00,
2.500000e+05,0.00e+00,
3.000000e+05,0.00e+00,
3.500000e+05,0.00e+00,
4.000000e+05,0.00e+00,
4.500000e+05,0.00e+00,
5.000000e+05,2.16e+00,
5.500000e+05,0.00e+00,
6.000000e+05,0.00e+00,
6.500000e+05,0.00e+00,
7.000000e+05,0.00e+00,
7.500000e+05,0.00e+00,
8.000000e+05,0.00e+00,
8.500000e+05,0.00e+00,
9.000000e+05,0.00e+00,
9.500000e+05,0.00e+00,
1.000000e+06,0.00e+00,
1.050000e+06,0.00e+00,
1.100000e+06,0.00e+00,
1.150000e+06,0.00e+00,
1.200000e+06,0.00e+00,
1.250000e+06,0.00e+00,
1.300000e+06,0.00e+00,
1.350000e+06,0.00e+00,
1.400000e+06,0.00e+00,
1.450000e+06,0.00e+00,
1.500000e+06,6.80e-01,
1.550000e+06,0.00e+00,
1.600000e+06,0.00e+00,
1.650000e+06,0.00e+00,
1.700000e+06,0.00e+00,
1.750000e+06,0.00e+00,
1.800000e+06,0.00e+00,
1.850000e+06,0.00e+00,
1.900000e+06,0.00e+00,
1.950000e+06,0.00e+00,
2.000000e+06,0.00e+00,
2.050000e+06,0.00e+00,
2.100000e+06,0.00e+00,
2.150000e+06,0.00e+00,
